place_id,name,place_kind,subtype,accessibility_rating,condition_rating,lat,lon,source_file
furniture-1515780,Seat - Straight Seat - Wooden Battens - Type 2 - North Melbourne Community Centre (Open Space),street_furniture,Seat,,3.0,-37.79361492023789,144.94031564618004,street_furniture_clean.csv
furniture-1515811,Seat - Stainless Steel Straight Seat,street_furniture,Seat,,2.44,-37.81470245060254,144.96634549146532,street_furniture_clean.csv
furniture-1515814,Seat - Stainless Steel Straight Seat,street_furniture,Seat,,3.44,-37.81489074667287,144.96643131428291,street_furniture_clean.csv
furniture-1516422,Seat - Stainless Steel Straight Seat,street_furniture,Seat,,4.44,-37.80881182929535,144.96357716126388,street_furniture_clean.csv
furniture-1490904,Seat - Urban Design Park Style - Green Powder Coat - Kings Domain,street_furniture,Seat,,4.0,-37.82611589796673,144.97438376880302,street_furniture_clean.csv
furniture-1490046,Information Pillar - Poster Pillar - COM,street_furniture,Information Pillar,,2.99,-37.789962903908666,144.95842519783565,street_furniture_clean.csv
furniture-1529754,Information Pillar - Information Hub Pillar,street_furniture,Information Pillar,,3.44,-37.81371099850672,144.9658198372367,street_furniture_clean.csv
furniture-1531369,Seat - Metal Bench,street_furniture,Seat,,2.95,-37.82149455347194,144.94610015824026,street_furniture_clean.csv
furniture-1119794,Seat - Straight Seat - Wooden Battens - Type 2 - Fawkner Park,street_furniture,Seat,,3.0,-37.84488490108611,144.98254741981114,street_furniture_clean.csv
furniture-1075247,Drinking Fountain - Stainless Steel Drinking Fountain - Northbank Type,street_furniture,Drinking Fountain,,3.44,-37.81933413777128,144.96443696866604,street_furniture_clean.csv
furniture-1075268,Drinking Fountain - Drinking Fountain - Type 1,street_furniture,Drinking Fountain,,1.13,-37.81013008750712,144.99100554178736,street_furniture_clean.csv
furniture-1075310,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,street_furniture,Drinking Fountain,,3.41,-37.80626983275522,144.95806339729006,street_furniture_clean.csv
furniture-1075320,Drinking Fountain - Drinking Fountain - Lygon St Type,street_furniture,Drinking Fountain,,3.17,-37.79775185327968,144.96744736482998,street_furniture_clean.csv
