GIS_ID,DESCRIPTION,ASSET_CLASS,ASSET_TYPE,MODEL_NO,MODEL_DESCR,DIVISION,COMPANY,LOCATION_DESC,CONDITION_RATING,EVALUATION_DATE,EASTING,NORTHING,UploadDate,CoordinateLocation,lat,lon,CONDITION_CATEGORY
1589308,Seat - Stainless Steel Bench - Docklands,Outdoor Furniture,Seat,201101-025,Seat - Stainless Steel Bench - Docklands,Infrastructure and Assets,City of Melbourne,"Merchant Street between Bourke Street and Collins Street approximately 3m East of Westpac Banking Corporation, 75A Merchant Street, Docklands, 3008",3.44,2021-04-30,319020.76,5812147.09,2021-08-14,"-37.82015487516498, 144.94379252138026",-37.82015487516498,144.94379252138026,Average
1607081,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,Outdoor Furniture,Drinking Fountain,200501-021,Drinking Fountain - Leaf Type - With Bottle Refill Tap,Infrastructure and Assets,City of Melbourne,"La Trobe Street between Russell Street and Swanston Street approximately 71m NE of Melbourne Central Station, 183-201 La Trobe Street, Melbourne, 3000",3.4,2021-04-30,320795.15,5813358.46,2021-08-14,"-37.809593623030885, 144.96424038761432",-37.809593623030885,144.96424038761432,Average
1598889,Picnic Setting - Urban Design Style - Royal Park,Outdoor Furniture,Picnic Setting,201401-001,Picnic Setting - Urban Design Style,Parks and City Greening,City of Melbourne,Royal Park,4.0,2019-05-09,319693.54,5816910.79,2021-08-14,"-37.777379313214816, 144.9526170103072",-37.777379313214816,144.9526170103072,Good
1633478,Seat - Timber Bench - Ron Barassi Senior Park,Outdoor Furniture,Seat,201101-071,Seat - Timber Bench,Parks and City Greening,City of Melbourne,"Docklands Drive between Docklands Drive and Western Link Road approximately 87m NE of 534 Docklands Drive, Docklands, 3008",4.0,2019-09-23,318161.04,5812452.01,2021-08-14,"-37.81723748173971, 144.9341071584501",-37.81723748173971,144.9341071584501,Good
1634442,Seat - Straight Seat - Wooden Battens - Type 2 - Kings Domain,Outdoor Furniture,Seat,201101-038,Seat - Straight Seat - Wooden Battens - Type 2,Parks and City Greening,City of Melbourne,"Kings Domain approximately 73m NE of Marquis of Linlithgow Memorial Reserve, St Kilda Road, Melbourne, 3004",4.0,2019-08-22,321572.16,5811513.42,2021-08-14,"-37.82636504795323, 144.97260742529988",-37.82636504795323,144.97260742529988,Good
1608304,Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,Outdoor Furniture,Seat,201101-038,Seat - Straight Seat - Wooden Battens - Type 2,Parks and City Greening,City of Melbourne,Royal Park,4.0,2019-11-09,319682.59,5814980.41,2021-08-14,"-37.794764969042305, 144.95201276349505",-37.79476496904231,144.95201276349505,Good
1639775,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Eastwood and Rankins Park,Outdoor Furniture,Drinking Fountain,200501-014,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,Parks and City Greening,City of Melbourne,Eastwood and Rankins Road Reserve,4.0,2019-09-16,317815.54,5815015.98,2021-08-14,"-37.79407412774661, 144.93082898880024",-37.79407412774661,144.93082898880024,Good
1610989,Drinking fountain - Historic or Heritage fountains - Royal Park,Outdoor Furniture,Drinking Fountain,200501-020,Drinking fountain - Historic or Heritage fountains,Parks and City Greening,City of Melbourne,"Royal Park approximately 92m NW of 198 The Avenue, Parkville, 3052",3.0,2019-05-09,320088.29,5816400.46,2021-08-14,"-37.78205389103602, 144.95697021635434",-37.78205389103602,144.95697021635434,Average
1740809,Seat - Stainless Steel Straight Seat,Outdoor Furniture,Seat,201101-027,Seat - Stainless Steel Straight Seat,Infrastructure and Assets,City of Melbourne,"Bourke Street between Russell Street and Swanston Street approximately 23m North of Yes Optus, Shop 7, 255-267 Bourke Street, Melbourne, 3000",3.45,2021-04-30,320956.0,5812944.79,2021-08-14,"-37.813351311658, 144.96596431832452",-37.813351311658,144.96596431832452,Average
1740853,Seat - Straight Seat - Wooden Battens - Type 2 - College of Surgeons,Outdoor Furniture,Seat,201101-038,,Parks and City Greening,City of Melbourne,"Royal Australasian College Of Surgeons approximately 98m East of Australian Unity Limited, Mission Building, 261-265 Spring Street, Melbourne, 3000",3.0,2019-03-09,321542.45,5813467.8,2021-08-14,"-37.808755115096886, 144.97275172845892",-37.808755115096886,144.97275172845892,Average
1742342,Barbeque - Urban Design Single Hotplate - Hawke and Adderley Street Park,Outdoor Furniture,Barbeque,201201-001,Barbeque - Urban Design Single Hotplate,Parks and City Greening,City of Melbourne,Hawke & Adderley Street Park,4.0,2019-04-09,319101.61,5813409.11,2021-08-14,"-37.808803420080686, 144.9450258108489",-37.808803420080686,144.9450258108489,Good
1742628,Seat - Timber Seat with Aluminium Legs - Docklands,Outdoor Furniture,Seat,201101-046,Seat - Timber Seat with Aluminium Legs - Docklands,Infrastructure and Assets,City of Melbourne,"Victoria Harbour Promenade approximately 47m NE of 925A Collins Street, Docklands, 3008",3.16,2021-04-30,318696.94,5812158.17,2021-08-14,"-37.819990803250604, 144.94011837727595",-37.819990803250604,144.94011837727595,Average
